idjoueur,nom,naissance,nation
1,Dosaku,1645,Japon
2,Genan Inseki,1798,Japon
3,Shusaku,1829,Japon
4,Kitani Miruno,1909,Japon
5,Go Seigen,1914,Chine
6,Sakata Eio,1920,Japon
7,Rin Kaiho,1942,Taiwan
8,Cho Chikun,1953,Corée
9,Rui Naiwei,1963,Chine
10,Lee Chango,1975,Corée
